2953,2010-02-22,47,51.15,CC6TG,18,2010-02-22,2009-01-11,407
2997,2010-02-23,47,27.97,ZCSXX,15,2010-02-26,2009-01-11,408
3037,2010-02-25,47,15.5025,HG86F,15,2010-02-26,2009-01-11,410
3082,2010-03-01,47,48.152,P98FG,18,2010-03-01,2009-01-11,414
3109,2010-03-02,47,34.13,4PFP8,3,2010-03-02,2009-01-11,415
3178,2010-03-05,47,7.22,GWR53,15,2010-03-05,2009-01-11,418
360,2009-03-10,95,7.47,FTM95,3,2009-03-10,2009-03-10,0
414,2009-04-07,95,3.68,ARQ3F,3,2009-04-09,2009-03-10,28
292,2009-01-29,98,16.96,ZLNHR,3,2009-01-29,2009-01-29,0
316,2009-02-16,98,6.74,GYTPJ,2,2009-02-16,2009-01-29,18
344,2009-03-03,98,3.68,FUUH8,2,2009-03-04,2009-01-29,33
375,2009-03-17,98,4.09,N88FP,3,2009-03-24,2009-01-29,47
377,2009-03-18,98,3.59,C6T6S,3,2009-03-19,2009-01-29,48
378,2009-03-18,98,3.59,E745K,3,2009-03-19,2009-01-29,48
403,2009-04-01,98,2.03,SU6DX,3,2009-04-02,2009-01-29,62
421,2009-04-10,98,3.59,X5ZJG,3,2009-04-16,2009-01-29,71
422,2009-04-10,98,5.11,D2CJG,5,2009-04-17,2009-01-29,71
527,2009-05-05,98,3.59,527,3,2009-05-05,2009-01-29,96
276,2009-01-19,112,17.76,ALMYV,3,2009-01-20,2009-01-19,0
1765,2009-11-13,141,30.87,Z8UXB,5,2009-11-13,2009-11-13,0
2830,2010-02-14,147,23.26,P3TFZ,6,2010-02-18,2010-02-14,0
2030,2009-12-13,160,37.46,83AUQ,4,2009-12-14,2009-12-13,0
2284,2010-01-10,160,65.09,VRHJ2,4,2010-01-12,2009-12-13,28
2724,2010-02-08,177,44.7928,AR6KK,7,2010-02-09,2010-02-08,0
2742,2010-02-09,177,41.6928,K4XER,7,2010-02-09,2010-02-08,1
603,2009-05-19,180,66.21,55HUW,4,2009-05-21,2009-05-19,0
1276,2009-09-21,180,46.0502,SVJDZ,4,2009-09-22,2009-05-19,125
285,2009-01-27,182,291.64,HJKAY,3,2009-01-27,2009-01-27,0
2911,2010-02-18,182,390.0692,SX8NP,15,2010-02-19,2009-01-27,387
2987,2010-02-22,182,79.4442,F95QZ,3,2010-02-23,2009-01-27,391
3158,2010-03-04,182,260.122,KP8F9,15,2010-03-05,2009-01-27,401
3219,2010-03-08,182,270.1352,NN5EG,15,2010-03-08,2009-01-27,405
410,2009-04-07,200,29.8,EA2CB,3,2009-04-07,2009-04-07,0
578,2009-05-14,200,6.26,RSXPW,3,2009-05-21,2009-04-07,37
884,2009-07-13,200,2.24,QSVQH,3,2009-07-14,2009-04-07,97
995,2009-08-02,200,13.67,Z5N3E,5,2009-08-07,2009-04-07,117
1402,2009-10-12,200,13.58,8MNCV,3,2009-10-13,2009-04-07,188
1454,2009-10-19,200,6.54,WPT5K,3,2009-10-20,2009-04-07,195
2387,2010-01-18,200,7.443,AUXH3,15,2010-01-18,2009-04-07,286
385,2009-03-22,202,101.83,GQ4BY,4,2009-03-24,2009-03-22,0
416,2009-04-08,202,206.32,LEFC5,4,2009-04-09,2009-03-22,17
504,2009-04-30,202,142.04,DYHKW,4,2009-04-30,2009-03-22,39
526,2009-05-05,202,111.41,GF7X7,4,2009-05-05,2009-03-22,44
561,2009-05-12,202,96.14,QMK96,4,2009-05-12,2009-03-22,51
607,2009-05-20,202,162.41,D2FFR,4,2009-05-21,2009-03-22,59
643,2009-05-27,202,144.73,Q7SX8,4,2009-05-28,2009-03-22,66
673,2009-06-03,202,81.82,78V2J,4,2009-06-04,2009-03-22,73
799,2009-06-29,202,208.52,GY9K5,4,2009-06-30,2009-03-22,99
1041,2009-08-11,202,142.86,ZGVP3,4,2009-08-11,2009-03-22,142
1085,2009-08-20,202,230.71,VN5CM,4,2009-08-20,2009-03-22,151
1158,2009-09-01,202,164.3,FPWM2,4,2009-09-01,2009-03-22,163
1205,2009-09-08,202,243.9302,5WDD3,4,2009-09-08,2009-03-22,170
1425,2009-10-15,202,173.65,R5D99,4,2009-10-15,2009-03-22,207
1457,2009-10-19,202,87.6505,QALA2,11,2009-10-21,2009-03-22,211
1535,2009-10-27,202,206.29,4AKAR,11,2009-10-28,2009-03-22,219
1600,2009-11-04,202,115.9505,JJMGA,11,2009-11-04,2009-03-22,227
1689,2009-11-11,202,216.3905,J47X2,11,2009-11-11,2009-03-22,234
1814,2009-11-18,202,158.94,U68KQ,11,2009-11-18,2009-03-22,241
2496,2010-01-26,202,161.77,S9NWW,4,2010-01-26,2009-03-22,310
265,2009-01-13,207,32.96,MZ562,3,2009-01-13,2009-01-13,0
279,2009-01-20,207,24.24,UMUAD,3,2009-01-20,2009-01-13,7
299,2009-02-05,207,22.6,LBM3R,3,2009-02-05,2009-01-13,23
312,2009-02-12,207,55.4,S4LPV,3,2009-02-12,2009-01-13,30
313,2009-02-12,207,3.02,69ZDJ,3,2009-02-12,2009-01-13,30
326,2009-02-19,207,28.29,XVXS3,3,2009-02-19,2009-01-13,37
327,2009-02-19,207,2.65,D8KLE,3,2009-02-19,2009-01-13,37
328,2009-02-19,207,2.8,BJLRA,3,2009-02-19,2009-01-13,37
338,2009-02-26,207,29.22,2HJA7,3,2009-02-26,2009-01-13,44
339,2009-02-26,207,28.34,4P2HZ,3,2009-02-26,2009-01-13,44
357,2009-03-10,207,17.81,L4RPU,4,2009-03-10,2009-01-13,56
370,2009-03-17,207,45.3,NEMEB,4,2009-03-17,2009-01-13,63
388,2009-03-24,207,39.3,Q2LQ7,4,2009-03-24,2009-01-13,70
430,2009-04-14,207,14.42,TEHSY,4,2009-04-14,2009-01-13,91
466,2009-04-23,207,28.17,9FYMW,4,2009-04-23,2009-01-13,100
569,2009-05-14,207,38.95,C6428,4,2009-05-14,2009-01-13,121
612,2009-05-21,207,31.77,7LEMS,4,2009-05-21,2009-01-13,128
649,2009-05-28,207,34.24,JP57U,4,2009-05-28,2009-01-13,135
676,2009-06-04,207,41.12,9EA7H,4,2009-06-04,2009-01-13,142
707,2009-06-11,207,22.67,MHEMQ,4,2009-06-11,2009-01-13,149
733,2009-06-16,207,46.38,U74LF,4,2009-06-16,2009-01-13,154
783,2009-06-25,207,14.66,6Q7T3,4,2009-06-25,2009-01-13,163
802,2009-06-30,207,9.25,BZZ3Z,4,2009-06-30,2009-01-13,168
936,2009-07-23,207,29.41,BYNX4,4,2009-07-23,2009-01-13,191
958,2009-07-27,207,30.6,QQFV6,4,2009-07-28,2009-01-13,195
1043,2009-08-11,207,83.24,LNHHE,4,2009-08-11,2009-01-13,210
1074,2009-08-18,207,57.41,2WE66,4,2009-08-18,2009-01-13,217
1117,2009-08-25,207,75.6252,LXE87,4,2009-08-25,2009-01-13,224
1174,2009-09-03,207,82.7055,2GYRW,4,2009-09-03,2009-01-13,233
1245,2009-09-15,207,60.77,PWDKC,4,2009-09-15,2009-01-13,245
1280,2009-09-22,207,55.27,D5AP2,4,2009-09-22,2009-01-13,252
1378,2009-10-08,207,38.15,4RB2N,4,2009-10-08,2009-01-13,268
1597,2009-11-03,207,58.52,MLWHL,4,2009-11-03,2009-01-13,294
1661,2009-11-10,207,37.72,Z642W,4,2009-11-10,2009-01-13,301
1905,2009-12-01,207,53.44,4AZMQ,4,2009-12-01,2009-01-13,322
1992,2009-12-08,207,31.399,7XWFQ,4,2009-12-08,2009-01-13,329
2057,2009-12-15,207,41.51,PSESN,4,2009-12-15,2009-01-13,336
2107,2009-12-21,207,81.22,GLUH6,4,2009-12-22,2009-01-13,342
2499,2010-01-26,207,76.44,8C37P,4,2010-01-26,2009-01-13,378
2631,2010-02-02,207,72.0175,SZFQG,4,2010-02-03,2009-01-13,385
2871,2010-02-16,207,71.8068,FD9LD,4,2010-02-17,2009-01-13,399
2973,2010-02-22,207,22.98,QPDJP,4,2010-02-23,2009-01-13,405
3049,2010-02-26,207,21.88,SAFUP,4,2010-02-26,2009-01-13,409
3110,2010-03-02,207,64.94,AXV93,4,2010-03-02,2009-01-13,413
3211,2010-03-08,207,57.05,DX6JP,4,2010-03-08,2009-01-13,419
287,2009-01-28,225,16.99,TFCX6,3,2009-01-29,2009-01-28,0
308,2009-02-10,230,16.66,GEM33,3,2009-02-10,2009-02-10,0
348,2009-03-05,230,18.7,89WWL,4,2009-03-05,2009-02-10,23
434,2009-04-14,230,21.34,H9545,3,2009-04-14,2009-02-10,63
257,2009-01-06,253,57.51,6T3J5,3,2009-01-06,2009-01-06,0
274,2009-01-15,253,64.83,GE3YZ,3,2009-01-15,2009-01-06,9
277,2009-01-20,253,80.48,NNY5A,3,2009-01-20,2009-01-06,14
283,2009-01-27,253,91.53,GHWB5,3,2009-01-27,2009-01-06,21
293,2009-02-02,253,54.86,XAAX4,2,2009-02-02,2009-01-06,27
295,2009-02-04,253,50.12,YNGMD,2,2009-02-04,2009-01-06,29
309,2009-02-11,253,76.89,BADHL,2,2009-02-11,2009-01-06,36
310,2009-02-11,253,18.75,T5Q4Y,2,2009-02-11,2009-01-06,36
352,2009-03-09,253,93.34,TVFB2,4,2009-03-10,2009-01-06,62
381,2009-03-19,253,88.84,U928K,4,2009-03-19,2009-01-06,72
387,2009-03-24,253,83.93,WB4PC,4,2009-03-24,2009-01-06,77
393,2009-03-26,253,21.29,NQDWX,4,2009-03-26,2009-01-06,79
399,2009-03-31,253,72.7,FZ8JJ,4,2009-03-31,2009-01-06,84
405,2009-04-02,253,47.92,QHZNE,3,2009-04-02,2009-01-06,86
411,2009-04-07,253,115.56,RJRFJ,4,2009-04-07,2009-01-06,91
419,2009-04-09,253,32.34,MFCUJ,3,2009-04-09,2009-01-06,93
420,2009-04-09,253,5.45,QNYTH,3,2009-04-09,2009-01-06,93
435,2009-04-14,253,67.21,8JT56,4,2009-04-14,2009-01-06,98
439,2009-04-16,253,16.96,9DY9B,3,2009-04-16,2009-01-06,100
468,2009-04-23,253,85.9,HD3G5,4,2009-04-23,2009-01-06,107
499,2009-04-30,253,102.09,EJKBT,4,2009-04-30,2009-01-06,114
528,2009-05-05,253,53.73,528,4,2009-05-05,2009-01-06,119
533,2009-05-07,253,78.98,533,3,2009-05-07,2009-01-06,121
563,2009-05-12,253,81.41,J2SPA,4,2009-05-12,2009-01-06,126
606,2009-05-20,253,40.97,FT5V7,4,2009-05-21,2009-01-06,134
613,2009-05-21,253,59.61,YWH23,4,2009-05-21,2009-01-06,135
636,2009-05-26,253,104.19,Z4ARW,4,2009-05-26,2009-01-06,140
680,2009-06-04,253,91.58,LHMJE,5,2009-06-05,2009-01-06,149
681,2009-06-04,253,13.27,CJFXQ,5,2009-06-05,2009-01-06,149
696,2009-06-09,253,25.33,49C7Q,3,2009-06-09,2009-01-06,154
736,2009-06-16,253,141.65,FMXXY,4,2009-06-16,2009-01-06,161
762,2009-06-19,253,38.99,ZVMV5,5,2009-06-19,2009-01-06,164
